person_age,person_income,person_home_ownership,loan_intent,loan_grade,loan_amnt,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_int_rate,person_emp_length
21,9600,OWN,EDUCATION,B,1000,0,0.1,N,2,11.14,5.0
25,9600,MORTGAGE,MEDICAL,C,5500,1,0.57,N,3,12.87,1.0
23,65500,RENT,MEDICAL,C,35000,1,0.53,N,2,15.23,4.0
24,54400,RENT,MEDICAL,C,35000,1,0.55,Y,4,14.27,8.0
21,9900,OWN,VENTURE,A,2500,1,0.25,N,2,7.14,2.0
26,77100,RENT,EDUCATION,B,35000,1,0.45,N,3,12.42,8.0
24,78956,RENT,MEDICAL,B,35000,1,0.44,N,4,11.110000000000001,5.0
24,83000,RENT,PERSONAL,A,35000,1,0.42,N,2,8.9,8.0
21,10000,OWN,VENTURE,D,1600,1,0.16,N,3,14.74,6.000000000000001
22,85000,RENT,VENTURE,B,35000,1,0.41,N,4,10.37,6.000000000000001
21,10000,OWN,HOMEIMPROVEMENT,A,4500,1,0.45,N,2,8.63,2.0
23,95000,RENT,VENTURE,A,35000,1,0.37,N,2,7.9,2.0
26,108160,RENT,EDUCATION,E,35000,1,0.32,N,4,18.39,4.0
23,115000,RENT,EDUCATION,A,35000,0,0.3,N,4,7.9,2.0
23,500000,MORTGAGE,DEBTCONSOLIDATION,B,30000,0,0.06,N,3,10.65,7.0
23,120000,RENT,EDUCATION,A,35000,0,0.29,N,4,7.9,0.0
23,92111,RENT,MEDICAL,F,35000,1,0.32,N,4,20.25,7.0
23,113000,RENT,DEBTCONSOLIDATION,D,35000,1,0.31,N,4,18.249999999999996,8.0
24,10800,MORTGAGE,EDUCATION,B,1750,1,0.16,N,2,10.99,8.0
25,162500,RENT,VENTURE,A,35000,0,0.22,N,4,7.49,2.0
25,137000,RENT,PERSONAL,E,34800,0,0.25,Y,2,16.77,9.0
22,65000,RENT,EDUCATION,D,34000,1,0.52,N,4,17.58,4.0
24,10980,OWN,PERSONAL,A,1500,0,0.14,N,3,7.29,0.0
22,80000,RENT,PERSONAL,D,33950,1,0.42,Y,4,14.539999999999996,3.0000000000000004
24,67746,RENT,HOMEIMPROVEMENT,C,33000,1,0.49,N,3,12.68,8.0
21,11000,MORTGAGE,VENTURE,E,4575,1,0.42,Y,3,17.739999999999995,3.0000000000000004
23,11000,OWN,PERSONAL,A,1400,0,0.13,N,3,9.32,0.0
24,65000,RENT,HOMEIMPROVEMENT,B,32500,1,0.5,N,3,9.99,6.000000000000001
21,11389,OTHER,EDUCATION,C,4000,1,0.35,Y,2,12.84,5.0
21,11520,OWN,MEDICAL,B,2000,1,0.17,N,3,11.12,5.0
25,120000,RENT,VENTURE,A,32000,0,0.27,N,2,6.62,2.0
26,95000,RENT,HOMEIMPROVEMENT,C,31050,1,0.33,Y,3,14.17,7.0
25,306000,RENT,DEBTCONSOLIDATION,C,24250,0,0.08,N,3,13.85,2.0
26,300000,MORTGAGE,MEDICAL,C,7800,0,0.03,N,4,13.49,10.0
21,12000,OWN,EDUCATION,A,2500,1,0.21,N,4,7.509999999999999,5.0
22,48000,RENT,EDUCATION,E,30000,1,0.63,N,2,18.39,1.0
24,64000,RENT,DEBTCONSOLIDATION,D,30000,1,0.47,Y,3,14.539999999999996,8.0
25,75000,RENT,HOMEIMPROVEMENT,D,30000,1,0.4,Y,4,16.89,4.0
23,71500,RENT,DEBTCONSOLIDATION,D,30000,1,0.42,N,4,15.332,3.0000000000000004
26,62050,RENT,MEDICAL,E,30000,1,0.41,N,2,17.99,6.000000000000001
24,12000,OWN,VENTURE,B,2500,1,0.21,N,3,12.69,4.0
26,300000,MORTGAGE,VENTURE,A,20000,0,0.07,N,4,7.88,10.0
23,300000,OWN,EDUCATION,F,24250,0,0.08,Y,2,19.41,1.0
26,300000,OWN,HOMEIMPROVEMENT,B,10000,0,0.03,N,4,10.38,9.0
26,300000,MORTGAGE,EDUCATION,D,25000,0,0.08,N,3,15.329999999999998,0.0
25,300000,MORTGAGE,HOMEIMPROVEMENT,E,18000,0,0.06,N,3,16.45,9.0
26,80690,RENT,PERSONAL,A,30000,1,0.37,N,3,7.49,8.0
22,66300,RENT,MEDICAL,B,30000,1,0.38,N,3,12.69,4.0
26,89028,RENT,DEBTCONSOLIDATION,A,30000,1,0.34,N,3,6.62,0.0
24,78000,RENT,DEBTCONSOLIDATION,D,30000,1,0.38,Y,4,15.246,4.0
23,78000,RENT,DEBTCONSOLIDATION,F,30000,1,0.38,Y,3,18.62,7.0
23,92004,RENT,PERSONAL,C,30000,1,0.33,Y,3,15.23,6.000000000000001
23,97000,RENT,VENTURE,B,30000,1,0.31,N,2,10.65,7.0
25,120000,RENT,EDUCATION,A,30000,0,0.25,N,4,7.9,9.0
26,280000,RENT,PERSONAL,C,10000,0,0.04,Y,3,15.959999999999999,4.0
26,277104,RENT,VENTURE,B,20000,0,0.07,N,3,11.48,0.0
23,277000,OWN,PERSONAL,A,35000,0,0.13,N,4,7.572,3.0000000000000004
25,128000,RENT,PERSONAL,A,30000,0,0.23,N,4,7.29,9.0
24,12000,OWN,VENTURE,E,1750,0,0.15,Y,3,16.804,2.0
21,131000,RENT,VENTURE,A,30000,0,0.23,N,4,5.99,0.0
22,275000,OWN,VENTURE,B,12000,0,0.04,N,2,11.58,6.000000000000001
26,263000,MORTGAGE,EDUCATION,B,10000,1,0.04,N,4,10.576000000000002,0.0
25,221850,MORTGAGE,MEDICAL,D,25000,1,0.1,N,2,15.699999999999998,9.0
22,70000,RENT,EDUCATION,D,29100,1,0.42,N,3,15.99,6.000000000000001
22,12000,MORTGAGE,EDUCATION,D,1500,0,0.13,Y,3,14.84,7.0
26,260000,OWN,HOMEIMPROVEMENT,B,28000,0,0.11,N,3,10.99,10.0
25,259000,MORTGAGE,HOMEIMPROVEMENT,D,20000,0,0.08,Y,2,14.42,9.0
24,255000,MORTGAGE,EDUCATION,A,9600,0,0.04,N,2,6.99,9.0
25,250000,RENT,MEDICAL,C,25000,0,0.1,N,4,13.49,2.0
25,12000,OWN,MEDICAL,C,3000,1,0.25,N,3,13.582,0.0
22,56950,RENT,MEDICAL,A,28000,1,0.49,N,2,7.382000000000001,6.000000000000001
21,12000,OWN,EDUCATION,C,3000,1,0.25,Y,3,13.61,6.000000000000001
23,65000,RENT,EDUCATION,A,28000,1,0.43,N,2,7.9,2.0
26,85000,RENT,VENTURE,A,28000,1,0.33,N,3,7.49,2.0
26,12000,OWN,EDUCATION,A,6100,1,0.51,N,3,7.509999999999999,2.0
22,88000,RENT,VENTURE,B,28000,1,0.32,N,3,9.91,6.000000000000001
21,12000,OWN,PERSONAL,C,4200,1,0.35,Y,4,13.479999999999999,0.0
22,12000,OWN,DEBTCONSOLIDATION,A,4750,1,0.4,N,2,7.14,6.000000000000001
24,83004,RENT,VENTURE,D,28000,1,0.34,Y,4,15.99,0.0
24,250000,RENT,EDUCATION,C,18000,0,0.07,Y,3,12.98,2.0
25,100000,RENT,DEBTCONSOLIDATION,B,28000,0,0.28,N,3,12.69,5.0
26,110000,RENT,EDUCATION,A,28000,0,0.25,N,2,8.9,10.0
26,12000,OWN,DEBTCONSOLIDATION,A,2700,1,0.23,N,4,7.224,0.0
22,108000,RENT,EDUCATION,B,28000,1,0.26,N,4,11.356000000000002,6.000000000000001
23,151200,RENT,DEBTCONSOLIDATION,B,28000,0,0.19,N,2,11.110000000000001,7.0
24,69000,RENT,HOMEIMPROVEMENT,A,27600,1,0.4,N,2,6.776000000000001,2.0
21,12000,MORTGAGE,DEBTCONSOLIDATION,E,3250,1,0.27,Y,3,15.679999999999998,5.0
22,70000,RENT,EDUCATION,C,27500,1,0.39,Y,3,13.06,4.0
22,240000,OWN,PERSONAL,B,25000,0,0.1,N,2,10.898000000000001,6.000000000000001
26,73200,RENT,VENTURE,D,27050,1,0.37,Y,2,15.619999999999997,5.0
24,83000,RENT,PERSONAL,C,27000,1,0.33,Y,2,13.49,5.0
24,73399,RENT,VENTURE,D,27000,1,0.37,N,3,15.319999999999999,0.0
23,62500,RENT,MEDICAL,B,26000,1,0.42,N,2,11.71,7.0
23,120000,RENT,EDUCATION,B,25600,0,0.21,N,3,12.69,1.0
24,12360,OWN,MEDICAL,C,1600,0,0.13,N,3,13.57,2.0
22,60000,RENT,VENTURE,B,25475,1,0.42,N,3,10.99,0.0
25,234000,MORTGAGE,MEDICAL,C,20000,0,0.09,Y,4,14.27,3.0000000000000004
24,234000,OWN,HOMEIMPROVEMENT,B,20000,0,0.09,N,4,8.88,8.0
26,234000,MORTGAGE,HOMEIMPROVEMENT,B,21600,0,0.09,N,3,12.18,10.0
25,221004,MORTGAGE,DEBTCONSOLIDATION,D,11900,1,0.05,Y,3,14.42,6.000000000000001
26,232500,MORTGAGE,MEDICAL,C,25000,0,0.11,Y,2,14.17,0.0
25,230000,MORTGAGE,MEDICAL,C,35000,0,0.15,N,4,13.99,5.0
23,83000,RENT,EDUCATION,B,25300,1,0.3,N,3,10.99,7.0
22,12600,MORTGAGE,PERSONAL,A,2000,1,0.16,N,4,5.42,5.200000000000001
25,12600,OWN,PERSONAL,C,1750,0,0.14,N,3,13.61,3.0000000000000004
21,42500,RENT,EDUCATION,C,25000,1,0.59,Y,3,12.73,3.0000000000000004
24,41000,RENT,HOMEIMPROVEMENT,D,25000,1,0.61,N,3,15.736,2.0
25,12816,OWN,DEBTCONSOLIDATION,C,3000,1,0.23,Y,4,12.87,0.0
